,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
SonyAIBORobotSurface2,0.7258650017719039,0.45168030723009406,0.2968223431204824,0.43683757383213545,0.4372615556073146,0.8362244897959185,0.7334149204663314,0.4457903977987271,0.4290530653675121
StarLightCurves,0.7562525514552763,0.49381703716839837,0.5916497238955218,0.5927753875596136,0.5928635235639593,0.7190775227371156,0.6972642175003034,0.621076837208547,0.5697942407758221
Strawberry,0.5116847921798889,0.004527754674337697,0.07389322656342172,0.12018094416439318,0.12091502297740445,0.5780264496439471,0.5794204426184998,0.1133829330621164,0.129519673394409
SwedishLeaf,0.9380449189402926,0.5568007288207772,2.029961465963212,0.7594829145620314,0.7679906563318502,0.6284444444444445,0.5949796112178151,0.7496025978901694,0.787487670046209
Symbols,0.9342615790182609,0.7824740150383318,1.5459672419894965,0.8897779755050752,0.8905642397722368,0.8019607843137255,0.8267279722207675,0.8633558172940043,0.9197863594921307
SyntheticControl,0.9495141903171953,0.832119653348735,1.588639648850787,0.9021498060742363,0.9033396817138841,0.8425,0.865557976554074,0.8866366697842665,0.9211735207019778
ToeSegmentation1,0.8758007714237799,0.7516054235509969,0.4541960986885373,0.6575139478121398,0.6584459226849336,0.9335820895522389,0.8762649213593272,0.6562158157218754,0.6606993335452438
ToeSegmentation2,0.9009784592917125,0.7944166003386715,0.40814086921927767,0.6978079093499155,0.6993831182276946,0.9475903614457831,0.9177274649066691,0.721581282558752,0.6789042533447041
Trace,0.9418743718592963,0.8539164736169804,1.2372326425035634,0.8985591632243193,0.9003034506464378,0.8880000000000001,0.8946725718689719,0.8924746988829193,0.9090593553672116
TwoLeadECG,0.9016113179184068,0.8032714452800487,0.5564454334779145,0.8027608996566329,0.8029000238068125,0.9092943201376936,0.9146055249779799,0.8027810674038968,0.8030296470445355
TwoPatterns,0.7814533306661332,0.43398995637460513,0.701647129610353,0.5143633722211383,0.5146840244564108,0.68094,0.5822234756657568,0.5062936371631229,0.5236992245411459
UMD,0.6873370577281193,0.340273597944075,0.5003136976932787,0.47618399710613996,0.4819585215843249,0.6661111111111111,0.5884496712382383,0.4554051532591431,0.5128609959582423
UWaveGestureLibraryAll,0.9027742210372443,0.5583230248713208,1.3288471358336273,0.6393902583189675,0.6403441088240257,0.7091112103617686,0.6139928536048445,0.6390404829690439,0.64166813229083
UWaveGestureLibraryX,0.8721541982778735,0.4272419227542971,1.0629359588535117,0.5132863928446978,0.5145796979131552,0.598213488164359,0.5006766870641441,0.511164219114482,0.5180581187765638
UWaveGestureLibraryY,0.835187459540864,0.2739811044527274,0.7866118141341738,0.38099932317890733,0.3826525967470443,0.4688923626619026,0.368919344440911,0.37828037556638394,0.387144263007309
UWaveGestureLibraryZ,0.856299314754794,0.37390065628014296,1.0327359936607377,0.5027965258380831,0.5041291404323959,0.5313979455113891,0.45721426813268495,0.4966411036845556,0.511913279896277
Wafer,0.5319310810961442,-0.0001543124353595663,0.013019860236512582,0.025256081363361486,0.02539633968388998,0.6048297040759353,0.6673601664775741,0.03842393140532436,0.018972025870777093
Wine,0.4981490581490581,-0.0020559113553932835,0.00607432099284021,0.004645538455022742,0.012766535099096804,0.5297297297297298,0.5386423306193875,0.008768013339177072,0.03503103192086361
WordSynonyms,0.9091690705519971,0.2831232852102731,1.5805922231925829,0.4696645558317954,0.5309257118582453,0.37215469613259666,0.3445042736092758,0.5600151408804378,0.504719352712645
Worms,0.6361113624709679,0.1648477822225244,0.358342589388657,0.2583948637456552,0.27541686306404545,0.5015503875968992,0.4243674396976858,0.24419966953542444,0.32030269315408855
WormsTwoClass,0.5698217355895394,0.13327581526386204,0.06768925804279949,0.09820017604670951,0.10213048546947463,0.674031007751938,0.6379402558697396,0.09938517147444399,0.12806028707634054
Yoga,0.5032742704400783,0.004894916068479505,0.0046295519456885925,0.007651180909646933,0.007909762977554337,0.5386666666666666,0.5774757909524931,0.006704635041858422,0.010704701710730073
