,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
GunPointAgeSpan,0.5633473980309424,0.1273450740574693,0.10115746984914305,0.1619172497847361,0.16406421033976915,0.6620253164556961,0.6125867127020614,0.14595625047216187,0.19398843657118242
GunPointMaleVersusFemale,0.6551677717500503,0.3105261628617229,0.24501874313268307,0.3832325968231299,0.38497741463803725,0.7414556962025316,0.7276770334103633,0.35414252602306445,0.434892092309647
GunPointOldVersusYoung,0.5392821757152967,0.07887833972570461,0.09385366882804172,0.1593853984880534,0.16168460870336906,0.6279365079365078,0.6179421313874481,0.1356241480979242,0.20368838685837926
Ham,0.5065934065934066,0.01608031387574286,0.011353820253890612,0.010948128334144368,0.016907181791764144,0.559047619047619,0.5769273626931704,0.01638975267870824,0.21757266145920556
HandOutlines,0.5408935765033327,0.007569048029774284,0.004303187685659078,0.0074114166260254456,0.012483734177832074,0.6451351351351351,0.7319022944371489,0.006588798820593792,0.13827413513587464
Haptics,0.6671411650239012,0.05443766827592254,0.12846000943217967,0.07149498145977096,0.0853467832490199,0.33376623376623377,0.2670588858911088,0.07989085093508877,0.09188907783669896
Herring,0.5087301587301587,0.012106850240907295,0.009901630886301237,0.0016139789488443927,0.015522736751563595,0.58125,0.5729455240585744,0.014658993444739124,0.0170342004394888
HouseTwenty,0.7238285144566301,0.443263119980754,0.26944595903301055,0.41274796231082245,0.41628482348166684,0.8126050420168068,0.7816293063490775,0.3960424311247606,0.5450342311780346
InlineSkate,0.6991965557211459,0.039084925276987405,0.18630854473476882,0.08814199791828162,0.10603022174604053,0.25018181818181817,0.21880097565430398,0.09708087641469512,0.11717116019299076
InsectEPGRegularTrain,0.7280347195232543,0.4513501900144239,0.49939932132432013,0.49042158427609195,0.4954349784674002,0.6879518072289158,0.681506481285209,0.48873311433066624,0.5229456060367934
InsectEPGSmallTrain,0.7437006088871615,0.46651365434180636,0.4892970700051813,0.5019563648709228,0.5059420507719325,0.7112449799196787,0.6810057541084501,0.47884662762928076,0.5479547870208675
InsectWingbeatSound,0.8679227341632597,0.3284618972971198,1.1557440385309006,0.5040476883748444,0.5091704658173437,0.4626767676767677,0.4064955265903385,0.48198270026285767,0.540660403245291
ItalyPowerDemand,0.5950365471369203,0.19031162336627866,0.13397306216840824,0.20516834624139388,0.2058094298934155,0.6720116618075802,0.6517591971854921,0.1932834574938101,0.22330567620424172
LargeKitchenAppliances,0.5292805704099821,0.012071443193606793,0.021669378562959606,0.01588730941260425,0.021048628688945747,0.40426666666666666,0.38469540233292715,0.01972431838463253,0.02261904282624131
Lightning2,0.4944262295081967,-0.010396631609264352,0.0018016847229796128,-0.010121154969047145,0.002639156603618458,0.5327868852459017,0.5107850368571428,0.0026119545688120588,0.0026692479210352156
Lightning7,0.7801750380517503,0.32860496828262786,0.9781954186123911,0.49377020656220666,0.5660394428284821,0.5972602739726028,0.4686539887839423,0.5203103886584397,0.6222790078785428
Mallat,0.9290955631399317,0.7265008069839386,1.7315387800793487,0.8847723237155979,0.8853820234477533,0.7053731343283582,0.7794651055826939,0.8327083620273898,0.9452281830492998
Meat,0.6325988700564972,0.3144848786675831,0.4016470834241882,0.4523284618242759,0.46913004082446985,0.5816666666666666,0.6314762337088227,0.365594930592958,0.6571922872048079
MedicalImages,0.6601314055890715,0.038743464677172566,0.5190348644100486,0.24884209539798166,0.27194340961878405,0.27552631578947373,0.23816632703286497,0.303894199233138,0.24612083704158078
MiddlePhalanxOutlineAgeGroup,0.5239283592224769,0.05407197922751002,0.10024267673979552,0.10230872085424232,0.11636823268233938,0.4974025974025974,0.49193288812025954,0.10262196072852617,0.15579735126790362
MiddlePhalanxOutlineCorrect,0.513823912785875,0.015298059664154448,0.005973324910861658,0.009120896723951104,0.012946898437702123,0.5879725085910652,0.6746505661357307,0.008743303046098586,0.025132838510052664
MiddlePhalanxTW,0.7861726508785332,0.39735537250580666,0.6866745091252442,0.4315623513124403,0.45295534627939504,0.5538961038961039,0.5373618189578457,0.4172104607133541,0.4975821442944185
MixedShapesRegularTrain,0.8880270150726413,0.6799641603666,1.1526847693599402,0.74028107472338,0.7408339633773682,0.817938144329897,0.7532655498387567,0.7303424019400069,0.752043931528123
MixedShapesSmallTrain,0.8745192746078733,0.6315309854456503,1.086097696228494,0.6946641623157099,0.6953116745324134,0.8013608247422679,0.7120863048482844,0.6881527554541085,0.7029249334397913
MoteStrain,0.6274482011834622,0.2539357852410006,0.18000383377387225,0.2765202722540944,0.2769911734379889,0.7276357827476039,0.6695874214909854,0.2608446609810488,0.304309076884956
NonInvasiveFetalECGThorax1,0.9732036711701207,0.5441530119954084,2.9068622014031447,0.7929609043281987,0.8155011717880363,0.629821882951654,0.5712038995839749,0.7790501005636987,0.85554721121575
NonInvasiveFetalECGThorax2,0.9759636303332764,0.5724922065063845,2.9771721774727826,0.8063904243526757,0.8283631099021178,0.6269720101781171,0.5946173121618057,0.7978934409536363,0.8612932489650669
OSULeaf,0.9159836768286411,0.7255701334553825,1.3841095100122058,0.7965371138757783,0.8030606031177092,0.790495867768595,0.7789742809574685,0.7875802373714835,0.8195355351716096
OliveOil,0.8160919540229887,0.5616848687539693,0.7818082939012917,0.581348258883315,0.6386600567139965,0.75,0.6937330711090539,0.6037183535597322,0.6779399644509825
PhalangesOutlinesCorrect,0.5202462648203604,0.03394478680368888,0.008760825049366493,0.01268184813530146,0.013575491767691855,0.6019813519813519,0.561401346387865,0.013127534682005542,0.014055128814240736
Phoneme,0.9192958373690481,0.09897383301097133,1.056288796196122,0.24938793648678487,0.3224882852111744,0.20933544303797466,0.14140355575106278,0.3229005416721557,0.32213484502060025
PigAirwayPressure,0.9642326272761055,0.06759865935397207,2.4866325432433096,0.10940842091959327,0.6533856890630874,0.32211538461538464,0.0875805222061347,0.629329072147455,0.6793627492344106
PigArtPressure,0.9864362690449647,0.6074632400888593,3.4891140089220194,0.7366771073246192,0.9026228463488847,0.7168269230769232,0.6238532950946466,0.8830419628416843,0.9231068227227521
PigCVP,0.9857023411371237,0.5737758166197826,3.4569602021131325,0.6971457106882091,0.8898831511725378,0.7177884615384615,0.5876254193047021,0.8749043208486891,0.9054001444075899
Plane,0.9868498168498169,0.9495981340540037,1.8532802052952781,0.9697690838042863,0.9728510913304053,0.9647619047619049,0.9585603591491625,0.9643291495738854,0.9822143567590643
PowerCons,0.5129484792054624,0.030081980742063717,0.023724074019253263,0.03484102426839194,0.040287418202797555,0.5455555555555556,0.6695984197675704,0.03422660393725938,0.3889990647479059
ProximalPhalanxOutlineAgeGroup,0.7823720707795314,0.5469257712393601,0.4949244637405138,0.4980687507141335,0.50321894521115,0.7185365853658536,0.7276401513030708,0.5381617986629095,0.4725459577723525
ProximalPhalanxOutlineCorrect,0.5412157838606471,0.06543880995409214,0.0754288592420124,0.11411331639550963,0.11620736561533666,0.6457044673539518,0.5922795615630946,0.12089232384210673,0.21187205873369655
ProximalPhalanxTW,0.8161166905786704,0.5025301572429771,0.8674433147528962,0.5550067361101771,0.5731389211370655,0.6243902439024389,0.6262018994727102,0.6076015934961875,0.5426706760777718
RefrigerationDevices,0.5569882352941177,0.05706417907433553,0.0805143887005172,0.07283842928292636,0.0776992732190725,0.4522666666666667,0.404130591486064,0.07328735490309139,0.08347679696802017
Rock,0.8128979591836736,0.5350297034209133,0.8556817436559102,0.6304359083042235,0.660476592080163,0.6839999999999999,0.6649680205353697,0.6664831839477757,0.6547986179332141
ScreenType,0.5551529411764706,0.04490410353418273,0.06207399154462014,0.05372621237791102,0.05886669690866288,0.4402666666666667,0.39108554969356163,0.05650218205721591,0.06188663882750263
SemgHandGenderCh2,0.526669449081803,0.0179399066623491,0.015227647173717166,0.03223996553778734,0.03378159674415005,0.6118333333333333,0.621732323802674,0.02351954007580017,0.07278801664591802
SemgHandMovementCh2,0.6843405097748082,0.05124995244967658,0.23748179019155358,0.12813225565366967,0.14326469252084278,0.2966666666666667,0.244833611706262,0.1325411107183198,0.15611057517685248
SemgHandSubjectCh2,0.7297589705518436,0.29195478474554815,0.6190438443439792,0.4167274045338466,0.42399228176556675,0.5304444444444444,0.47227740307848237,0.38463356651499675,0.47244160806465263
ShapeletSim,0.5536064556176288,0.11183096562517121,0.08502207729524683,0.12751011071329588,0.1286393898923584,0.5700000000000001,0.7266788167404534,0.1226609292799307,0.8453956664229894
ShapesAll,0.9832966054535335,0.529445871843694,3.340646606283683,0.7073618941396823,0.8342677551130449,0.662,0.5453596994216416,0.8159173111875649,0.853484865845533
SmallKitchenAppliances,0.7210524064171123,0.4094351172579295,0.41746642592364047,0.39005376054436985,0.39333085173380844,0.7378666666666666,0.6290936669852722,0.3799943166754046,0.4131742304915925
SmoothSubspace,0.7538612975391499,0.462675517443758,0.542614764513109,0.507588611594959,0.5139501014344617,0.6846666666666665,0.6537040362356826,0.4939092436067159,0.5419390533628824
SonyAIBORobotSurface1,0.5477426511369939,0.0851533941833836,0.08168386666878506,0.12807359421894737,0.12896881792610979,0.6261231281198004,0.6676455141602966,0.11957605974923824,0.4507803499812759
SonyAIBORobotSurface2,0.7025818512084793,0.3885636815976567,0.21344492080592437,0.3325843862994891,0.33312903305886776,0.7984260230849949,0.7714093808305502,0.32072181747704,0.46353395530878655
StarLightCurves,0.7749790559195888,0.531000769677824,0.6197167488208302,0.6180686500314378,0.6181604408012594,0.7458596406022341,0.7161396412522183,0.6512155171352584,0.5889580582594143
Strawberry,0.5047403501062037,-0.015398325600906015,0.07094213821301491,0.11814896002911597,0.12018275950632548,0.554864864864865,0.5877889800384127,0.10888556984992159,0.13412300659381113
SwedishLeaf,0.9335158974358972,0.5379010909521678,1.9958774959971841,0.7457229143698894,0.7626971851341097,0.6239999999999999,0.5801079086829641,0.7382695315493575,0.7888618164632184
Symbols,0.8994479439450774,0.6833619074065694,1.3936201541055306,0.8237154000356327,0.8250058742449398,0.7347738693467336,0.7529869144349004,0.778226857803574,0.8779026126983019
SyntheticControl,0.9124303232998885,0.7203759990279666,1.4516884746611254,0.8423627471101603,0.8462416966882989,0.7406666666666667,0.7803144323892535,0.8102027641503451,0.8869862739411914
ToeSegmentation1,0.5988213926887703,0.19833749777865303,0.13592942614340064,0.209250057511091,0.2123283835461423,0.6811403508771929,0.6920900406106266,0.19649753039002266,0.3511020450967623
ToeSegmentation2,0.7911747167561121,0.383419556964535,0.13710489219934655,0.29612248885837733,0.3022142123159865,0.8784615384615385,0.8738937545595755,0.28663822994844984,0.5643231704879206
Trace,0.859090909090909,0.6542633029714053,0.992789570598819,0.7417887128631868,0.7508161831255398,0.735,0.7553585611861361,0.7228379327999634,0.7855168717511761
TwoLeadECG,0.6844785685960768,0.36922525236037457,0.23698676250151487,0.34562527061194265,0.3459436318056869,0.7369622475856012,0.7503406568297,0.3418998171233518,0.5509177423340866
TwoPatterns,0.8063122905726431,0.5091278684489277,0.7988820647653683,0.590147605006824,0.5904899025284853,0.7142,0.6423630097918989,0.5764306951821778,0.6057402151182734
UMD,0.6061188811188811,0.21489842742495274,0.3472640447250926,0.3445645444048772,0.35455613300578276,0.6125,0.5378846668299051,0.31609335550587575,0.4079193046588122
UWaveGestureLibraryAll,0.8886551345576436,0.5062695066387851,1.256980396609686,0.6085547221092373,0.6098602443432959,0.6587660524846455,0.570535694848431,0.6045295759521936,0.6153351585330286
UWaveGestureLibraryX,0.8707505693785882,0.4228141027766572,1.0371518893620055,0.5010234561549756,0.5026849240212263,0.6009212730318259,0.4971256824644678,0.49880570418213177,0.5066502976526314
UWaveGestureLibraryY,0.8350089832949538,0.27069742459143725,0.7685505524663627,0.3714764994697532,0.37357514942608744,0.45566722501395873,0.36565021237610756,0.3696251276737964,0.37762406681557464
UWaveGestureLibraryZ,0.8528777182009835,0.36309461661066394,0.9773615428163174,0.47634197026319247,0.4781022372900107,0.5257677275265216,0.448657206338323,0.47005025744581863,0.486565331293731
Wafer,0.5776376900392465,-0.018893115210713664,0.009246646132559915,0.01938935968710572,0.019571802438461038,0.6830142764438676,0.7109233600824989,0.027031494196865312,0.015625086930517482
Wine,0.49573724668064295,0.002629686599379537,0.013745518969906317,0.01611425984939831,0.025724262886008938,0.5333333333333334,0.6220241119879036,0.019830592052329017,0.436983735212921
WordSynonyms,0.8938440869475353,0.25813792971155475,1.4294555352060223,0.4284291803098516,0.5051763766988604,0.38025078369905957,0.31779040210196097,0.5069428577537767,0.5035097941673119
Worms,0.6473684210526317,0.22281036028077134,0.41162701154092096,0.3072339323550521,0.337650499923387,0.5233766233766233,0.47822145917686687,0.2811405494846343,0.4272544812587486
WormsTwoClass,0.5265208475734792,0.04920236899100527,0.028129697545601094,0.03676461239398537,0.04129258130490983,0.618181818181818,0.6329545764535395,0.04119104364406243,0.541405875110856
Yoga,0.5015971768367233,0.0017519194031532387,0.002717056545797846,0.004247989685204441,0.004535251839705579,0.5283666666666667,0.5682440392690487,0.003934337406749178,0.006801380923701463
